,PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
,40.6,21904,-69.1,-91.1,-87.2,3,5,0.00,84,36,509.7,509.7,509.7
,36.5,22555,-64.0,-90.7,-86.8,2,3,0.00,70,42,538.6,538.6,538.6
,36.2,22599,-63.7,-90.7,-86.8,1,3,0.00,72,42,540.6,540.6,540.6
,31.4,23470,-61.3,-89.0,-85.1,1,3,0.00,105,47,569.3,569.3,569.3
,30.0,23760,-60.5,-88.5,-84.5,1,3,0.01,90,55,579.1,579.2,579.1
,25.9,24689,-60.1,-88.8,-84.8,1,2,0.01,70,58,605.6,605.6,605.6
,24.4,25048,-59.9,-88.9,-84.9,1,2,0.01,80,67,616.1,616.1,616.1
,23.5,25298,-58.4,-88.3,-84.3,1,2,0.01,80,67,627.3,627.4,627.3
,20.2,26246,-52.9,-85.9,-81.8,1,1,0.01,94,52,671.6,671.7,671.6
,20.0,26310,-52.7,-85.7,-81.6,1,1,0.01,95,51,674.1,674.2,674.1
,19.4,26518,-52.3,-85.4,-81.3,1,1,0.01,100,50,681.6,681.8,681.6
,17.6,27127,-51.0,-84.7,-80.6,1,1,0.02,90,50,704.0,704.2,704.0
,16.4,27598,-50.1,-84.1,-80.0,1,1,0.02,90,63,721.9,722.1,721.9
,16.1,27737,-49.4,-83.8,-79.7,1,1,0.02,90,67,728.5,728.7,728.5
,14.0,28643,-44.9,-81.9,-77.7,1,1,0.04,90,67,772.8,773.2,772.9
