Pressure,Height,Temperature,RH,DewPoint,Speed,Direction
564.8,4922,1.0,46,-9.3,6.3,34
561.5,4968,0.9,41,-10.7,6.3,34
557.9,5020,0.6,37,-12.5,6.6,31
553.9,5076,0.1,39,-12.2,7.0,33
549.5,5141,-0.4,43,-11.6,7.3,37
545.2,5205,-1.0,43,-11.9,7.3,36
541.2,5263,-1.4,38,-14.0,7.0,34
537.1,5322,-1.8,33,-15.9,6.8,37
532.9,5386,-2.1,27,-18.5,7.0,47
528.8,5449,-2.4,28,-18.2,7.3,55
525.0,5504,-2.8,26,-19.6,7.4,60
520.4,5576,-3.1,18,-24.4,7.5,70
516.2,5637,-3.5,12,-28.8,8.5,83
512.2,5699,-3.9,9,-32.7,9.6,90
508.2,5762,-4.4,8,-34.4,10.3,93
504.5,5817,-4.8,7,-36.2,11.0,96
500.7,5876,-5.2,6,-37.3,12.2,99
496.7,5941,-5.7,5,-38.7,13.3,102
493.3,5996,-5.8,4,-40.6,13.7,103
489.7,6054,-6.2,8,-35.9,13.6,103
486.6,6101,-6.7,8,-36.0,13.7,104
483.4,6152,-7.2,8,-36.2,13.7,104
480.0,6210,-7.7,8,-36.8,13.4,103
476.9,6259,-8.2,9,-35.2,12.8,102
473.8,6309,-8.6,16,-30.2,11.9,102
470.4,6363,-9.0,14,-32.0,10.7,102
467.1,6418,-9.4,6,-40.2,9.8,102
464.0,6470,-9.8,5,-41.8,9.5,103
460.7,6525,-10.2,6,-41.5,9.6,104
457.1,6586,-10.7,5,-42.5,9.9,103
453.9,6640,-11.2,5,-42.9,10.0,101
450.9,6691,-11.3,5,-44.0,9.8,99
448.0,6740,-11.7,5,-43.4,9.7,97
445.2,6788,-11.8,6,-42.5,10.0,97
442.5,6835,-12.1,5,-43.9,10.8,97
439.8,6881,-12.3,4,-46.0,12.0,97
437.0,6930,-12.4,5,-45.4,13.7,96
434.0,6982,-12.4,5,-44.4,15.3,95
431.3,7030,-12.5,6,-43.3,16.0,96
428.6,7078,-12.6,7,-41.0,15.7,97
426.0,7125,-12.7,7,-41.6,15.1,97
423.5,7170,-13.1,7,-41.9,14.8,97
421.0,7214,-12.9,6,-42.7,14.8,94
418.3,7262,-12.7,7,-42.0,14.7,90
415.0,7322,-13.3,10,-38.6,14.4,86
412.0,7379,-13.7,15,-34.7,14.3,83
409.6,7423,-14.1,17,-33.7,14.3,82
407.3,7466,-14.4,17,-33.9,14.0,82
404.9,7510,-14.6,12,-38.0,13.8,84
402.6,7554,-14.9,11,-38.6,13.7,85
400.4,7594,-15.1,11,-39.0,13.6,86
398.1,7639,-15.3,12,-38.8,13.8,86
395.9,7681,-15.5,11,-39.1,14.2,86
393.6,7723,-15.8,11,-39.4,14.7,87
391.4,7765,-16.1,11,-40.0,15.0,86
389.2,7809,-16.3,17,-36.1,15.2,85
387.0,7853,-16.6,20,-34.7,15.0,83
384.8,7895,-16.9,20,-34.5,14.8,82
382.5,7939,-17.2,19,-35.7,14.7,81
380.3,7982,-17.4,15,-37.9,14.7,81
378.2,8024,-17.8,16,-37.9,14.7,80
375.9,8068,-18.1,13,-40.0,14.3,80
373.6,8115,-18.4,13,-40.3,13.8,82
371.4,8160,-18.9,11,-42.2,13.6,82
369.0,8207,-19.1,10,-43.2,13.4,82
366.7,8254,-19.5,9,-44.3,13.0,83
364.4,8301,-20.0,9,-44.7,12.7,84
362.1,8347,-20.3,9,-45.7,12.3,85
359.8,8395,-20.6,8,-46.3,11.8,85
357.5,8442,-20.9,9,-46.1,11.3,86
355.2,8490,-21.3,8,-47.5,10.9,86
352.9,8538,-21.7,7,-48.1,10.8,85
350.7,8584,-22.1,8,-48.1,10.8,83
348.6,8627,-22.5,8,-48.2,10.7,84
346.3,8676,-22.9,8,-48.4,10.7,86
344.1,8724,-23.3,8,-49.1,10.8,89
341.8,8773,-23.6,8,-48.4,10.8,91
339.6,8819,-23.9,10,-47.4,10.6,94
337.3,8869,-24.3,15,-43.5,10.5,96
335.1,8916,-24.7,19,-42.0,10.4,98
332.9,8963,-25.2,19,-42.3,10.3,99
330.9,9008,-25.6,19,-42.8,10.1,100
328.7,9057,-26.1,19,-43.2,10.0,100
326.4,9106,-26.6,19,-43.6,9.9,100
324.2,9155,-27.0,19,-43.7,9.7,99
322.2,9201,-27.4,20,-43.8,9.6,99
320.1,9247,-27.9,21,-43.9,9.4,99
318.1,9292,-28.4,21,-43.9,9.0,99
316.0,9339,-28.8,21,-44.2,8.6,100
314.0,9386,-29.3,22,-44.5,8.3,100
312.0,9432,-29.7,22,-44.7,8.2,100
309.9,9478,-29.9,19,-46.3,8.2,100
307.9,9524,-30.1,21,-45.5,8.2,98
305.9,9570,-30.5,20,-46.3,8.3,95
303.9,9619,-30.9,21,-46.4,8.7,91
301.6,9671,-31.3,20,-47.0,9.2,88
298.7,9740,-31.8,20,-47.3,9.8,84
296.1,9801,-32.4,22,-47.1,10.7,80
293.9,9854,-33.0,24,-47.0,11.6,76
291.9,9902,-33.4,26,-46.7,12.0,76
290.0,9947,-33.8,26,-46.7,12.1,75
288.2,9993,-34.2,27,-46.8,12.0,74
286.3,10038,-34.5,26,-47.6,12.0,72
284.3,10087,-35.0,27,-47.5,11.9,67
282.3,10135,-35.3,27,-47.9,12.0,62
280.4,10183,-35.6,27,-48.2,12.0,58
278.4,10232,-35.8,28,-47.9,12.0,56
276.6,10278,-36.1,30,-47.5,12.0,55
274.6,10326,-36.5,31,-47.6,12.0,54
272.7,10375,-36.9,32,-47.6,11.9,55
270.9,10422,-37.4,35,-47.3,12.1,57
269.0,10470,-37.7,35,-47.7,12.4,58
267.2,10517,-38.1,32,-48.8,12.8,58
265.3,10566,-38.6,33,-48.9,13.0,57
263.3,10616,-39.1,37,-48.5,13.3,57
261.5,10664,-39.6,40,-48.1,13.5,57
259.6,10713,-40.0,42,-48.1,13.7,58
257.8,10763,-40.5,42,-48.6,13.9,59
255.9,10812,-40.9,40,-49.5,14.3,60
254.1,10860,-41.4,39,-50.0,14.6,61
252.2,10909,-41.8,38,-50.7,14.9,62
250.5,10957,-42.2,38,-51.0,15.0,63
248.7,11007,-42.6,37,-51.7,14.7,65
247.0,11052,-43.0,37,-52.0,14.1,65
245.2,11101,-43.5,36,-52.7,13.6,64
243.5,11148,-43.8,32,-54.0,13.2,63
241.8,11196,-44.1,29,-55.0,12.8,63
240.1,11243,-44.4,29,-55.3,12.2,62
238.3,11291,-44.8,26,-56.6,11.8,62
236.6,11340,-45.2,28,-56.5,11.8,62
234.9,11388,-45.6,27,-57.1,11.8,60
233.2,11436,-45.8,24,-58.2,11.7,57
231.6,11481,-46.1,22,-59.1,11.5,53
229.9,11532,-46.3,16,-62.0,11.4,51
228.2,11580,-46.6,15,-62.7,11.1,48
226.5,11628,-46.7,11,-65.2,10.5,44
224.8,11678,-46.9,9,-67.1,9.6,39
223.1,11731,-46.8,7,-68.6,8.8,30
221.2,11788,-47.2,8,-67.5,8.7,23
219.6,11836,-47.5,10,-66.4,9.0,20
218.0,11884,-48.0,11,-66.2,9.4,21
216.4,11932,-48.4,10,-66.9,9.7,22
214.8,11980,-48.8,10,-67.3,9.9,21
213.2,12028,-49.3,11,-67.2,9.9,20
211.6,12077,-49.7,12,-67.2,9.8,18
210.1,12126,-50.1,12,-67.1,9.7,17
208.6,12173,-50.5,13,-67.0,9.8,15
207.1,12220,-51.0,13,-67.4,10.0,14
205.6,12264,-51.4,13,-67.5,10.2,11
204.0,12319,-51.9,14,-67.7,10.5,7
202.4,12367,-52.2,13,-68.5,11.0,4
200.8,12421,-52.6,12,-69.5,11.7,2
199.3,12467,-52.9,10,-70.9,12.2,2
197.9,12514,-53.3,10,-71.0,12.0,1
196.4,12563,-53.7,12,-70.6,11.6,360
194.9,12609,-54.1,13,-70.1,11.4,359
193.5,12656,-54.6,14,-69.9,11.5,359
192.1,12702,-55.1,15,-69.7,11.6,359
190.6,12752,-55.5,16,-69.6,11.7,359
189.2,12802,-56.0,17,-69.8,11.9,358
187.7,12850,-56.4,17,-70.1,12.0,357
186.3,12898,-56.8,17,-70.6,12.0,355
184.9,12947,-57.3,19,-70.1,11.8,353
183.5,12995,-57.6,22,-69.3,11.3,353
182.1,13043,-58.1,22,-69.6,10.9,355
180.7,13090,-58.4,23,-69.7,10.7,357
179.3,13140,-58.9,23,-70.1,10.5,356
177.9,13190,-59.1,20,-71.4,10.0,354
176.4,13240,-59.3,16,-73.1,9.5,353
175.1,13290,-59.6,15,-73.7,9.1,351
173.6,13341,-59.8,15,-74.0,9.1,349
172.2,13391,-60.2,15,-74.2,9.3,349
170.8,13442,-60.6,16,-74.0,9.4,349
169.4,13493,-61.2,18,-74.0,9.6,350
168.0,13544,-61.6,19,-73.8,9.8,351
166.6,13597,-62.1,20,-74.0,10.0,351
165.2,13651,-62.7,22,-73.9,10.1,350
163.8,13703,-63.2,23,-73.9,10.3,349
162.3,13757,-63.7,25,-74.0,10.5,349
161.0,13808,-64.2,27,-73.8,10.5,348
159.6,13861,-64.7,28,-74.0,10.6,347
158.2,13915,-65.2,30,-74.0,10.8,347
156.8,13968,-65.7,32,-74.0,11.1,349
155.5,14021,-66.2,33,-74.2,11.4,351
154.2,14071,-66.6,36,-74.0,11.6,354
152.8,14126,-67.2,37,-74.3,12.1,356
151.5,14178,-67.5,37,-74.6,12.3,357
150.1,14231,-67.9,37,-75.0,12.2,356
148.8,14283,-68.2,36,-75.6,11.6,356
147.5,14337,-68.7,36,-75.9,10.9,356
146.1,14394,-69.3,37,-76.2,10.2,356
144.8,14448,-69.7,39,-76.3,9.5,357
143.6,14498,-70.2,41,-76.4,9.1,357
142.4,14548,-70.6,44,-76.3,9.0,357
141.1,14601,-71.1,48,-76.3,9.1,359
139.9,14653,-71.6,51,-76.3,9.4,1
138.7,14702,-72.0,52,-76.6,9.5,3
137.5,14755,-72.4,54,-76.7,9.0,4
136.3,14803,-72.8,53,-77.2,7.9,5
135.2,14852,-72.9,51,-77.6,6.6,2
134.0,14903,-73.2,46,-78.4,4.9,359
132.9,14955,-72.8,40,-78.9,2.9,5
131.6,15011,-72.7,32,-80.3,1.4,49
130.4,15065,-72.7,29,-80.9,2.0,115
129.3,15115,-72.5,25,-81.9,2.9,133
128.1,15168,-72.6,23,-82.4,2.9,139
127.1,15217,-72.9,22,-82.8,2.3,138
125.9,15269,-73.4,22,-83.4,1.8,126
124.8,15319,-73.4,21,-83.7,1.7,115
123.8,15371,-73.2,20,-83.9,1.8,110
122.7,15423,-73.2,19,-84.0,2.0,97
121.6,15474,-73.2,19,-84.0,2.3,74
120.5,15525,-73.4,20,-84.1,2.4,59
119.5,15575,-73.6,20,-84.0,2.2,53
118.4,15627,-73.9,21,-84.0,2.0,53
117.4,15680,-74.4,22,-84.2,1.6,55
116.3,15734,-74.8,23,-84.3,1.2,57
115.2,15788,-75.2,24,-84.4,0.7,76
114.1,15845,-75.6,25,-84.5,1.0,144
112.9,15908,-75.6,25,-84.5,2.1,156
111.7,15967,-75.9,27,-84.5,3.3,156
110.6,16023,-76.3,28,-84.5,4.4,157
109.5,16082,-76.7,29,-84.6,5.3,159
108.4,16138,-76.9,30,-84.7,5.6,156
107.4,16194,-77.0,29,-84.8,5.3,150
106.4,16248,-77.4,30,-85.1,4.8,139
105.3,16305,-77.8,30,-85.4,4.7,127
104.3,16361,-78.1,31,-85.6,4.9,117
103.3,16414,-78.5,32,-85.7,5.1,111
102.4,16467,-78.9,33,-85.9,5.5,106
101.4,16519,-79.4,34,-86.2,5.9,100
100.5,16571,-79.8,37,-86.1,6.2,97
99.6,16624,-80.2,39,-86.2,6.5,100
98.7,16674,-80.6,40,-86.3,6.7,109
97.8,16724,-80.9,41,-86.4,7.0,119
97.0,16773,-81.2,42,-86.5,7.7,127
96.2,16821,-81.3,43,-86.5,8.5,132
95.3,16869,-81.5,43,-86.7,9.1,134
94.5,16914,-81.9,44,-86.9,9.8,133
93.8,16962,-82.0,45,-86.9,10.5,130
93.0,17009,-82.2,45,-87.2,11.2,128
92.2,17054,-82.5,45,-87.4,11.8,124
91.5,17101,-82.5,41,-87.9,12.4,116
90.7,17150,-81.6,36,-87.9,12.4,106
89.9,17196,-80.6,30,-88.0,11.0,96
89.1,17246,-77.3,24,-86.5,8.9,80
88.4,17295,-76.8,23,-86.1,7.7,57
87.6,17345,-76.0,21,-85.9,8.1,32
86.8,17400,-74.7,18,-85.6,9.1,16
86.0,17454,-73.9,16,-85.7,9.4,4
85.1,17511,-73.6,15,-85.9,9.2,354
84.3,17569,-73.8,15,-86.1,9.2,345
83.4,17628,-74.3,15,-86.6,9.3,339
82.6,17686,-74.6,15,-86.7,9.6,333
81.8,17747,-74.9,16,-86.8,10.1,326
81.0,17804,-75.3,17,-86.8,11.0,320
80.2,17860,-75.7,17,-86.9,12.3,318
79.4,17918,-75.8,17,-86.9,13.6,318
78.6,17974,-75.6,17,-86.7,14.2,318
77.9,18029,-75.8,18,-86.8,14.2,319
77.2,18080,-76.1,18,-87.1,13.9,323
76.5,18135,-75.9,18,-86.9,13.0,329
75.8,18186,-76.0,18,-86.9,11.7,337
75.1,18238,-76.1,18,-87.0,10.3,342
74.5,18287,-76.3,18,-87.1,8.9,346
73.8,18337,-76.4,18,-87.1,7.3,347
73.2,18390,-76.4,18,-87.3,5.6,341
72.5,18439,-76.5,18,-87.4,4.3,324
71.9,18492,-76.4,17,-87.4,4.1,297
71.2,18546,-76.2,17,-87.3,4.9,274
70.5,18599,-76.5,17,-87.5,5.7,256
69.9,18651,-76.5,17,-87.7,5.7,243
69.2,18705,-76.3,17,-87.6,4.9,230
68.6,18758,-76.5,17,-87.8,4.8,219
68.0,18812,-76.7,16,-88.2,5.9,215
67.4,18862,-76.4,15,-88.3,7.5,214
66.7,18920,-76.1,14,-88.5,9.2,215
66.0,18978,-75.5,13,-88.3,10.4,215
65.4,19033,-75.2,12,-88.4,10.8,212
64.8,19090,-75.0,12,-88.5,10.9,205
64.2,19148,-75.0,12,-88.5,11.3,199
63.5,19203,-75.2,12,-88.7,11.8,195
62.9,19261,-75.3,11,-89.0,12.5,191
62.3,19318,-75.1,11,-89.2,13.4,190
61.6,19378,-74.3,10,-88.9,14.1,192
61.0,19437,-74.3,10,-88.9,14.6,196
60.4,19495,-74.3,10,-89.0,14.6,199
59.8,19551,-74.5,9,-89.5,13.1,197
59.2,19610,-73.9,8,-89.8,10.3,188
58.6,19670,-73.2,7,-90.0,7.7,175
58.1,19725,-71.8,6,-89.9,5.9,164
57.5,19782,-69.9,5,-89.6,5.3,158
57.0,19836,-69.0,4,-89.4,5.8,153
56.5,19890,-68.8,4,-89.7,6.9,140
55.9,19952,-68.6,3,-90.5,8.2,120
55.4,20008,-66.5,3,-89.8,9.7,102
54.9,20067,-65.7,3,-89.7,10.6,89
54.4,20113,-65.1,2,-89.4,11.2,79
54.0,20164,-65.1,3,-89.4,11.7,73
53.5,20215,-65.3,3,-89.2,12.3,67
53.1,20263,-65.5,3,-89.1,13.1,63
52.6,20317,-65.8,3,-89.0,14.1,60
52.2,20372,-66.2,3,-89.0,14.5,56
51.7,20430,-66.4,3,-89.0,14.2,49
51.2,20489,-66.7,3,-89.1,14.2,41
50.7,20548,-66.8,3,-89.2,14.9,36
50.2,20605,-67.0,3,-89.5,15.5,38
49.7,20666,-66.8,3,-89.6,15.7,45
49.2,20726,-66.7,3,-89.8,15.4,54
48.7,20785,-65.7,3,-89.5,14.6,64
48.2,20845,-65.4,3,-89.5,14.1,75
47.7,20910,-65.4,3,-89.4,14.9,84
47.3,20970,-65.4,3,-89.3,16.5,89
46.8,21033,-65.4,3,-89.3,17.6,92
46.3,21096,-65.3,3,-89.3,17.8,93
45.8,21157,-65.3,3,-89.4,17.5,93
45.4,21216,-65.0,2,-89.4,17.4,92
44.9,21278,-64.5,2,-89.5,17.9,91
44.5,21335,-64.0,2,-89.2,18.4,94
44.1,21396,-64.0,2,-89.1,18.5,97
43.7,21454,-64.0,2,-88.8,18.6,99
43.2,21514,-64.4,3,-88.8,18.8,99
42.8,21570,-64.5,3,-88.8,18.9,96
42.4,21628,-64.7,3,-89.1,18.9,94
42.0,21689,-64.5,3,-88.9,18.8,93
41.6,21747,-64.7,3,-88.9,18.7,95
41.2,21808,-65.2,3,-89.1,19.0,97
40.8,21864,-65.5,3,-89.4,19.9,101
40.4,21921,-65.1,2,-89.7,21.2,104
40.1,21979,-63.9,2,-89.4,22.1,105
39.7,22036,-63.7,2,-89.6,22.4,107
39.3,22094,-62.9,2,-89.1,22.6,109
38.9,22155,-62.6,2,-88.9,22.9,111
38.5,22217,-62.5,2,-88.7,23.4,112
38.2,22274,-62.3,2,-88.4,23.7,111
37.8,22335,-62.4,2,-88.2,23.7,111
37.4,22395,-62.6,2,-88.1,23.7,112
37.1,22456,-63.1,2,-88.2,24.0,112
36.7,22516,-63.3,2,-88.4,24.5,110
36.3,22579,-63.5,2,-88.7,25.4,109
36.0,22640,-62.8,2,-88.7,26.3,107
35.6,22703,-62.4,2,-88.8,27.3,104
35.3,22763,-61.7,2,-88.5,28.2,102
34.9,22824,-61.4,2,-88.2,28.5,101
34.6,22886,-61.5,2,-88.0,28.2,99
34.2,22951,-61.5,2,-87.8,27.7,97
33.9,23010,-61.7,2,-87.9,27.7,93
33.5,23077,-61.6,2,-87.8,27.9,90
33.2,23144,-62.0,2,-87.9,27.9,88
32.8,23208,-62.2,2,-87.9,27.3,87
32.5,23269,-62.4,2,-88.1,26.4,86
32.1,23336,-62.2,2,-88.1,25.8,86
31.8,23398,-62.3,2,-88.2,25.6,86
31.5,23462,-62.3,2,-88.3,25.5,86
31.2,23527,-62.1,2,-88.4,25.3,85
30.9,23591,-61.8,2,-88.3,25.6,84
30.5,23655,-61.6,2,-88.2,26.3,84
30.2,23716,-61.6,2,-88.0,26.8,85
29.9,23774,-61.5,2,-88.0,27.1,88
29.6,23842,-61.5,2,-88.0,27.4,90
29.3,23903,-61.2,2,-87.9,27.4,90
29.1,23962,-61.2,2,-87.9,27.1,88
28.8,24025,-61.0,2,-87.9,26.8,87
28.5,24085,-60.7,2,-87.8,26.8,87
28.2,24148,-60.4,2,-87.7,27.0,87
27.9,24210,-60.1,2,-87.4,27.5,87
27.6,24273,-60.0,2,-87.3,27.9,87
27.4,24333,-60.1,2,-87.1,27.9,86
27.1,24394,-60.5,2,-87.1,27.9,86
26.8,24458,-60.7,2,-87.2,28.1,86
26.6,24523,-60.9,2,-87.4,28.1,87
26.3,24586,-60.8,2,-87.5,27.2,88
26.0,24647,-60.5,2,-87.4,26.1,88
25.8,24713,-60.5,2,-87.4,25.6,88
25.5,24772,-60.7,2,-87.5,25.7,88
25.2,24834,-60.6,2,-87.6,25.9,89
25.0,24900,-60.2,2,-87.5,26.1,89
24.7,24965,-59.7,2,-87.4,26.2,89
24.5,25030,-59.3,2,-87.4,26.3,88
24.2,25091,-58.6,2,-87.0,26.2,88
24.0,25156,-58.3,2,-86.8,25.9,89
23.8,25216,-58.0,2,-86.5,25.7,90
23.5,25284,-58.0,2,-86.3,25.7,90
23.3,25351,-58.0,2,-86.1,26.0,90
23.0,25414,-58.1,2,-86.2,26.1,89
22.8,25482,-58.0,2,-86.1,26.3,87
22.6,25544,-57.7,2,-86.1,26.7,86
22.3,25614,-57.4,2,-86.2,27.0,85
22.1,25672,-56.8,2,-86.0,27.3,83
21.9,25738,-56.3,2,-85.7,27.5,82
21.6,25806,-56.1,2,-85.5,27.7,82
21.4,25872,-55.8,2,-85.3,27.8,83
21.2,25936,-55.7,2,-85.3,27.8,85
21.0,25998,-55.3,2,-85.1,27.7,86
20.8,26067,-54.8,1,-84.9,27.6,87
20.6,26133,-54.3,1,-84.6,27.5,88
20.4,26197,-53.9,1,-84.3,27.6,89
20.1,26266,-54.0,1,-84.2,27.8,91
19.9,26327,-53.9,1,-84.1,28.2,92
19.7,26391,-53.7,1,-84.0,28.8,92
19.5,26456,-53.6,1,-83.9,29.1,92
19.3,26528,-53.7,2,-84.0,29.5,93
19.1,26594,-53.5,2,-83.8,30.1,94
18.9,26659,-53.6,2,-83.7,30.6,94
18.7,26724,-53.9,2,-83.8,30.9,94
18.6,26795,-54.2,2,-84.0,31.2,93
18.4,26862,-54.2,2,-84.0,31.6,92
18.2,26927,-54.2,2,-84.2,31.9,93
18.0,27004,-53.8,1,-84.1,32.3,93
17.8,27067,-53.7,1,-84.0,32.8,92
17.6,27135,-53.6,1,-84.0,33.3,91
17.4,27203,-53.6,1,-83.9,33.5,90
17.2,27273,-53.6,1,-83.9,33.5,90
17.0,27344,-53.5,1,-83.8,33.5,90
16.9,27406,-53.5,1,-83.8,33.6,91
16.7,27471,-53.5,1,-83.9,34.0,91
16.5,27533,-53.1,1,-83.8,34.9,91
16.4,27601,-52.6,1,-83.8,36.0,90
16.2,27674,-51.9,1,-83.6,36.9,90
16.0,27733,-51.2,1,-83.2,37.5,88
15.9,27802,-51.2,1,-83.1,37.9,87
15.7,27872,-50.9,1,-82.9,38.2,87
15.5,27933,-50.6,1,-82.8,38.5,87
15.4,28000,-50.3,1,-82.7,38.8,86
15.2,28071,-49.8,1,-82.4,39.0,86
15.1,28131,-49.0,1,-82.0,39.0,85
14.9,28198,-49.0,1,-81.9,38.9,84
14.8,28266,-49.1,1,-81.9,38.8,82
14.6,28327,-48.9,1,-81.7,38.9,81
14.5,28395,-49.1,1,-81.6,39.1,81
14.3,28466,-49.3,1,-81.6,39.6,83
14.2,28531,-49.6,1,-81.7,40.2,84
